doc_id,text,review_text,restaurant_name,review_date,username,review_rating,bien,japonesa,sushi,mejor,comida,calidad,excelente,precio,rico,servicio,recomendable,genial,restaurante,espectacular,gran,mal,caro,experiencia,cena,trato,sitio,calidadprecio,relación,agradable,sorpresa
347730574,Aun me pregunto por que volvi,"El año pasado recibi como regalo de Navidad un cupon de groupon, llame varias veces para reservar y se negaron en rotundo...OBLIGATORIAMENTE TENIA QUE HACERLO VIA ONLINE...yo trabajo fuera y donde estoy no tengo una conexion decente a internet. Despues de intentarlo 1000 veces (es la 1 vez que me pasa), finalmente una amiga tuvo que reservar por mí. En aquella ocasion el sushi estuvo mas o menos bien y mi pareja y yo salimos saciados.Pues bien, ahora la oferta era de groupalia y mi chico me comenta que deberiamos volver y darle un voto de confianza, al fin y al cabo la comida estuvo bien.Esta vez no tenia posibilidad de que NADIE me reservara y con mis escasos megas en el movil, la cuenta de groupalia se me queda colgada, por lo que decido llamar...HE LLAMADO VARIAS VECES AL DIA DURANTE CASI 10 DIAS SEGUIDOS...he dejado mensajes en el contestador, donde amablemente una grabacion te pedia tu nombre y tu telefono...ni fueron capaces de contestarme.Finalmente, observo que a traves de esta aplicacion puedo reservar via eltenedor...así que lo hago y especifico que se trata de un cupon descuento, recibo el sms en el movil con la reserva confirmada.El 13 de febrero llego y comento que tengo una reserva...COMIENZAN LOS PROBLEMASPRIMERO ME DICEN QUE OBLIGATORIAMENTE TENGO QUE HACERLA POR GROUPALIA...OTRA VEZ LO MISMO...vamos a ver...QUE NO PUEDE SER UNA VIA EXCLUSIVA LA RESERVA VIA ONLINE. SEGUNDO: LES EXPLICO LAS DE VECES QUE HE LLAMADO, DESCONFIAN DE MI HASTA EL PUNTO DE ENSEÑARLES MI REGISTRO DE LLAMADAS DE EL MOVILTERCERO: CUANDO VEN EL SMS DE CONFIRMACION DE EL TENEDOR, NO SABIAN QUE ESA HERRAMIENTA EXISTIA...Y ME DICEN QUE EL TENEDOR SERA OTRO RESTAURANTE (no saben ni lo que ofrecen)Despues de 15 min en los que obviamente llegue a pedir la hoja de reclamaciones, llaman al dueño y nos sientan en una mesa.El trato el resto de la noche malisimo.El salon sucio...La cena...aun peor...Los fideos...recalentados y racion para una sola personaLa tempura: 2 trozos de calabacin, 2 de pimientos y 2 masacotes de berenjenas cuyas rodajas no se habian separado correctamente y estaban en bloqueLas piezas de sushi: minusculas, se deshacian al cogerlasNo ofrecieron ni postre ni nada masNo puedo creer que esto me haya costado 25 euros...YA NO HAY MAS VOTO DE CONFIANZA",Akira Sushi,2016-02-14,Anita_DUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344309950,Comida exótica con ganas de agradar,"Quizás la música ambiente no era la más acorde, y las mesas eran bastante frías.Aunque nos faltó el atún rojo, pudimos saborear otros productos!!",Akira Sushi,2016-02-01,jotaemegedos,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340850026,No está mal pero no es perfecto,"Estuvimos con un cupon de los de Groupon.Las camareras era muy simpaticas, siempre con una sonrisa en la cara.Pagamos 30€ y tuvimos botella de vino, una tempura (6 laminas de verdura en tempura), 4 giozas y 36 piezas de sushi variado. La verdad es que el sushi estaba bueno, los he probado mejores pero tambien mucho mas caros.",Akira Sushi,2016-01-18,PelaskiP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
338833715,Para olvidar,"Es pèsimo,sucio,caro,lento;puede tener todos los adjetivos negativos que se les puede dar a un restaurante.",Akira Sushi,2016-01-10,821miguelv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337462958,Chasco grande,Fui con una oferta de Grupon valorado en 60€ según ellos y lo que pusieron por delante bien parecía sushi congelado. La decoración un 0. Se trata del salón de una taberna mal reconvertido en restaurante japonés. Incluso en la mesa puedes encontrar el servilletero y combo de los desayunos. Nos cambiaron algún plato del menú que ya habíamos pagado sin ni siquiera preguntar. No vuelvo. Hay mil sitios mucho mejores y más baratos en Sevilla. Supongo que por la zona está más encaminada a los turistas porque si vas no repites.,Akira Sushi,2016-01-05,Raúl M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335011625,Bien sin grandes alardes,"Sin duda,lo mejor la atención de las camareras...la decoración japonesa brilla por su ausencia...fuimos con un Groupon y bueno por el precio q se paga tampoco está mal...los entrantes bien y el sushi repetitivo pero no estaba malo...lo único es q comer sushi en un local con olor a solomillo al whisky tp es muy normal...sin duda el sitio inmejorable por su ubicación pero es una pena que no se dediquen a japonés en exclusividad por qué pierde mucho encanto.",Akira Sushi,2015-12-26,Luis L,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334828474,Chasco total con Groupon,"Menos mal que fui con una oferta de groupon.... El local pésimo, 0 decoracion japonesa, es una taberna mediterranea total que intenta mezclar cocina mediterranea&japonesa. Los entrantes no estaban mal (tempura y fideos) el sushi calidad media-baja, el arroz muy pasado. Lo unico que me gustó fue la atención de la camarera, que fue bastante simpatica. Por el resto.... no vuelvo.",Akira Sushi,2015-12-24,Damaris C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334541623,Desastroso,"En la oferta de groupon parecía que estaba muy bien, pero la realidad es bien distinta. Para empezar la decoración del bar no era muy buena.Los entrantes tampoco eran nada del otro mundo.Después llegó el sushi. El pescado no era fresco y las piezas estaban tan mal hechas que se deshacían.Además me pasó algo que nunca me había pasado en otro sitio. No hago crítica de la cocina fusión y yo de sushi entiendo poco, pero algunas piezas venían con queso rallado curado por encima. Yo le tengo alergia a los lácteos, así que le pedí que me lo cambiara. Al rato nos vino con el mismo plato y nos dijo el camarero que nos comiéramos el resto y dejáramos las que tenían queso. Lo mas lógico seria que nos hubieran cambiado de plato, pero se ve que reutilizarían lo que no nos comimos para el próximo cliente. Sin palabras",Akira Sushi,2015-12-23,Nuria G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333997560,Mucho mejor de lo que esperaba,"Despues de que nos regalaran un cupon de este restaurante en el que se incluian 30 piezas de sushi (para dos), dos entrante y dos bebidas, busqué el restaurante por esta web y la verdad, me desilucioné bastante, por que no es que abunden las buenas criticas.Pero la verdad es que al llegar alli, tampoco me pareció un sitio lugubre y la decoracion pues tampoco era desastrosa. Los entrantes tardaron poco en llegar, y estaban bastante ricos.Y el sushi me encantó. Quizas es que no estoy acostumbrada a comer sushi de suprema calidad, el que como lo hacemos en casa, y tambien me encanta. Asi que si no sois exquisitos, pero aun asi os gusta comer rico, y hartaros, al menos el cupón de groupon está bastante bien.",Akira Sushi,2015-12-20,Cristina F,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331308165,DECEPCIONANTE,"La primera decepción fue al llegar al local, ya que en lugar de un restaurante con ambiente japonés nos encontramos con una taberna española, la segunda fue que no se parecía nada el sushi servido con lo publicitado en la oferta de Groupon, y por último la calidad del sushi, ya que parecia congelado.",Akira Sushi,2015-12-07,Emiliano C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
