review_id,restaurant_name,review_date,username,review_title,review_rating,review_text
466610101,YAMAZAKI,2017-03-12,vic2000,Buenisimo,5,"Todo riquísimo, el trato excepcional, la mejor comida japonesa que he probado ,y muy bien de precio.Me ha encantado "
462990254,YAMAZAKI,2017-02-26,bilbaoo,altamente recomendable,4,"Muy buen sushi , especialmente el niguiri de buey. Muy buen equipo de trabajo. Un rato muy agradable para el grupo que fuimos "
461179758,YAMAZAKI,2017-02-19,888pepeg,Muy rico,5,"Muy bueno todo, la atención correcta, recomiendo los Uramakis de atún picante. De precio normal para ser un japonés."
460901217,YAMAZAKI,2017-02-18,Leticia A,exquisito y no tan caro,5,"fue mi primera vez en un japonés y me encantó. el sitio precioso, los detalles cuidados al máximo, y la comida riquísima! las gyozas me encantaron y el yakisoba riquíiiisimo, entre otras cosas que pedimos que también nos gustaron. Creo que nos costó los dos platos, 2 tapas y postre para 2 personas 30€."
459994398,YAMAZAKI,2017-02-15,AnaD2170,Japonés utilitario,4,"Salón algo mejorable, pero bastante bueno relación calidad-precio. Para repetir sin temor a la cuenta."
458229470,YAMAZAKI,2017-02-09,Carmen S,Buen japonés,4,Calidad estupenda pero raciones demasiado pequeñas. El shushi variado era muy poco variado y llevaba demasiadas piezas solo con un trozo de aguacate
457270859,YAMAZAKI,2017-02-05,Sandra F,Muy agradable,5,Esta un poco escondido en la plaza de la encarnación y eso le da más encanto . La comida está muy buena y muy bien elaborada . El trato del personal es muy amable y correcto
456899516,YAMAZAKI,2017-02-03,CeliaG659,El menú del dia es genial y a buen precio,5,"Pedí el menú del día para comer entre semana y estaba todo muy rico. Los camareros fueron muy agradables y el precio no llegó a los 10 euros por entrante, tres platos y postre. Sin duda repetiría."
456784332,YAMAZAKI,2017-02-02,sjeei20,Excelente,5,"Comida japonesa tradicional EXCELENTE! Muy bien ubicado y la mejor atención que podrán recibir. No hay postres en la carta, pero si lo piden, hay una sopa de chocolate blanco muy buena. Precio razonable."
456191304,YAMAZAKI,2017-01-31,Imanol_Urkiza,Un japonés muy recomendable,5,He estado un par de veces en este restaurante y me parece una gran opción con platos muy correctos y buena relación calidad/precio.Un seguro para una buena degustación de sushis en Sevilla.
455977506,YAMAZAKI,2017-01-30,javier v,Precio justo,5,El menú buena presentación y buen precio. Indudablemente volveremos. Las cantidades justas. Buena relación calidad y precio.
455586210,YAMAZAKI,2017-01-29,rubenmuro007,Siempre repetimos,5,De todos los restaurantes japoneses de Sevilla es al que más volvemos por su calidad/precio y buen trato.
453011521,YAMAZAKI,2017-01-18,Manolo M,"Japonés bastante bueno, recomendable",4,"Pese a no ser un asiduo ni experto en comida japonesa, probamos hace poco este restaurante japonés y todo nos supo bastante bueno. Gyozas y tallarines muy ricos, y especialmente ricos el maki y el sushi.Ambiente tranquilo, excelente situación y muy buena atención por parte del personal. Recomendable."
448559768,YAMAZAKI,2017-01-02,Antonio F,Muy bueno,5,"Excelente comida japonesa un trato inmejorable y con una sonrisa permanente de los camareros a pesar de estar a tope tanto en el interior como en la terraza. Precio normal, para mi gusto correcto."
448313561,YAMAZAKI,2017-01-01,Ardentia,Fin de año ,5,"Dado que celebramos Fin de Año en Sevilla, buscamos un restaurante japonés en el que poder cenar esa noche. Vimos que Yamazaki estaba abierto y nos pareció una buena opción. Desde el primer momento fueron amables y educados, a pesar de la excesiva carga de trabajo y de que la gente se agolpaba en la puerta para conseguir una mesa. Nos tomamos algo en laterraza del local de al lado, y en cuanto hubo una mesa disponible, se encargaron de avisarnos y nos pidieron disculpas por la espera, la cual, era más que comprensible. Decidimos probar unas gyozas de pollo, unos tallarines y un barco de sushi. Todo riquísimo, especialmente el sushi ¡espectacular!Desde luego, un restaurante las que recomendable. ¡Salimos encantados!"
445560225,YAMAZAKI,2016-12-20,Rafteg,Genial... Para repetir.,4,"Comimos muy bien, nos encanto todo pero a mí sobre todo el arroz con pollo. Y el precio acorde con la calidad y la cantidad."
437775622,YAMAZAKI,2016-11-16,ivyem02,Y volvemos a repetir,5,"Vinimos hace tiempo a cenar y nos gustó mucho. Hoy repetimos de casualidad, y hemos pedido el menú.Todo muy bueno. Adaptando el menú porque yo no tomo marisco. Los camareros atentos y educados. El local muy bien decorado, limpio. La comida buena en calidad y cantidad. Y el vino blanco Duquesa muy bueno."
435001649,YAMAZAKI,2016-11-06,mar_ap831,Inmejorable ,5,"El mejor sushi de sevilla, estaba todo buenísimo pescado con sabor y de calidad y servicio bueno. Siempre repetiré "
